Old ID,HR,rMSSD,pNN50,SDNN,HF,LF,LFHF,VLF,ULF,Time,Exp,Participant,Step,Seq,ID,No-Step
PS-9_016_11_05_24_13_05_22_1.csv,68.5546875,10.06894825,0,26.35010415,17.36968682,86.32580972,4.969911698,29.62765722,432.8956029,120.6230097,9,16,11,1,9_16_11_1,16_11_1
PS-9_017_11_05_20_16_14_37_0.csv,67.67578125,27.86626374,8.02919708,44.48891076,133.0350802,836.2208239,6.285716689,292.1012909,243.1782454,120.6794554,9,17,11,0,9_17_11_0,17_11_0
PS-9_017_11_05_20_16_14_37_1.csv,66.796875,25.7870437,5.147058824,41.33779607,103.1882805,559.2674672,5.41987389,75.34581301,75.81881468,120.6309075,9,17,11,1,9_17_11_1,17_11_1
PS-9_018_11_05_20_16_51_00_0.csv,85.78018326,53.03327506,25.5952381,93.24918912,564.0615421,1393.900213,2.47118463,1552.105272,1680.889407,120.2603734,9,18,11,0,9_18_11_0,18_11_0
PS-9_018_11_05_20_16_51_00_1.csv,87.57375183,49.59398357,28.40909091,55.56208342,323.0638859,577.5553159,1.787743357,312.2776347,170.1399096,120.6949931,9,18,11,1,9_18_11_1,18_11_1
PS-9_019_11_05_20_18_26_19_0.csv,71.19140625,40.97602335,13.4751773,73.85101037,110.4277286,373.486563,3.382180976,262.5156089,854.1109055,120.2868635,9,19,11,0,9_19_11_0,19_11_0
PS-9_019_11_05_20_18_26_19_1.csv,71.19140625,22.42932023,6.944444444,35.29653897,59.86024858,264.3187313,4.415596955,16.52794769,156.8060432,120.7427682,9,19,11,1,9_19_11_1,19_11_1
PS-9_020_11_05_20_19_05_01_0.csv,72.94906815,29.92920627,10,60.63451611,167.5420635,528.1311095,3.152229944,814.0990312,343.808071,120.4213375,9,20,11,0,9_20_11_0,20_11_0
PS-9_020_11_05_20_19_05_01_1.csv,71.43646366,30.72901097,9.655172414,42.16179368,216.7996131,420.3113104,1.938708766,36.1724374,163.6567539,120.1029897,9,20,11,1,9_20_11_1,20_11_1
PS-9_021_11_05_21_18_48_03_0.csv,83.53334658,55.14938885,27.64705882,81.02310114,849.5282367,1282.191385,1.509298137,69.28388425,1299.658577,120.0900266,9,21,11,0,9_21_11_0,21_11_0
PS-9_021_11_05_21_18_48_03_1.csv,81.6640223,49.6296998,26.06060606,64.01501088,540.9540456,1225.773525,2.265947607,398.4393993,406.4808196,120.1827409,9,21,11,1,9_21_11_1,21_11_1
PS-9_022_11_05_21_18_40_14_0.csv,74.47757706,42.80178014,18.66666667,69.52830259,335.7400127,519.1605309,1.546317124,452.0719171,895.3413939,120.658663,9,22,11,0,9_22_11_0,22_11_0
PS-9_022_11_05_21_18_40_14_1.csv,76.65298909,38.87568342,20.12987013,46.70316829,225.4222964,661.1506979,2.932942785,125.4311663,293.9727187,120.0686,9,22,11,1,9_22_11_1,22_11_1
PS-9_023_11_05_22_19_01_18_0.csv,81.18692018,28.3953238,10.42944785,36.57158091,132.5466124,361.4733556,2.727141411,104.7149083,76.9107125,120.0803145,9,23,11,0,9_23_11_0,23_11_0
PS-9_024_11_05_22_18_38_59_0.csv,85.24118419,44.44879543,20.1183432,74.45397039,368.7755368,563.1938159,1.527199501,281.7622321,803.8816337,120.541787,9,24,11,0,9_24_11_0,24_11_0
PS-9_028_11_05_22_12_17_28_0.csv,73.72580908,45.30925079,26.35135135,58.89935672,354.5701221,851.5494702,2.401639104,125.1198759,826.0820311,120.1089698,9,28,11,0,9_28_11_0,28_11_0
PS-9_028_11_05_22_12_17_28_1.csv,75.88947529,50.12313486,25,65.38076895,303.8294433,472.5442914,1.555294596,151.8182565,573.4955492,120.2366601,9,28,11,1,9_28_11_1,28_11_1
PS-9_029_11_05_23_12_33_06_0.csv,85.69335937,43.06493393,18.45238095,71.91135122,294.1370554,669.0843043,2.274736529,484.7830576,622.4455339,120.5545606,9,29,11,0,9_29_11_0,29_11_0
PS-9_029_11_05_23_12_33_06_1.csv,86.52833843,35.21738534,15.11627907,46.88580853,248.640606,375.0418886,1.508369428,108.8239464,298.1555237,120.0493414,9,29,11,1,9_29_11_1,29_11_1
PS-9_030_11_05_23_13_09_58_0.csv,71.46452656,38.7562172,13.79310345,53.58905498,337.1931622,351.8659541,1.0435145,270.8222935,822.2371527,120.7587499,9,30,11,0,9_30_11_0,30_11_0
PS-9_030_11_05_23_13_09_58_1.csv,71.53167365,33.87434027,14.48275862,47.84015614,124.783532,418.3904163,3.352929746,192.5079016,185.7447627,120.5503339,9,30,11,1,9_30_11_1,30_11_1
PS-9_031_11_05_24_12_35_03_0.csv,80.47599294,50.52937039,23.125,74.3232455,268.6861842,1139.734804,4.241880942,473.3175715,515.1004431,120.1907614,9,31,11,0,9_31_11_0,31_11_0
PS-9_032_11_05_24_15_30_08_0.csv,73.55950024,39.90475582,17.44966443,60.30422034,322.207098,776.7869556,2.410831296,160.4779309,361.1721303,120.4492041,9,32,11,0,9_32_11_0,32_11_0
PS-9_032_11_05_24_15_30_08_1.csv,72.94978286,36.37902132,16.21621622,52.32404601,333.0312752,507.5496877,1.5240301,265.7924546,126.3646796,120.2566049,9,32,11,1,9_32_11_1,32_11_1
PS-9_033_11_05_24_16_01_19_0.csv,75.62450703,46.08593472,19.20529801,74.49286841,530.111017,1237.037164,2.333543586,2530.819903,271.2285781,120.2859889,9,33,11,0,9_33_11_0,33_11_0
PS-9_033_11_05_24_16_01_19_1.csv,73.67184173,34.59165639,9.395973154,55.56705937,148.1326428,133.6348817,0.902129869,284.692761,283.8120297,120.4602595,9,33,11,1,9_33_11_1,33_11_1
PS-9_033_11_05_24_16_01_19_2.csv,75.35721012,33.61726486,14.56953642,44.32511449,113.5068893,311.2727077,2.742324361,146.8761581,81.82031823,120.3645171,9,33,11,2,9_33_11_2,33_11_2
PS-9_034_11_05_24_18_39_18_0.csv,82.17773437,34.30153116,12.80487805,58.32055823,145.2053985,682.8675098,4.702769434,131.2127847,594.6371528,120.2228343,9,34,11,0,9_34_11_0,34_11_0
PS-9_034_11_05_24_18_39_18_1.csv,83.00642682,35.03707087,15.38461538,48.51369779,239.3995876,564.7893511,2.359190994,35.33320901,526.9587152,120.3613553,9,34,11,1,9_34_11_1,34_11_1
PS-9_035_11_05_25_09_23_09_0.csv,75.62944453,25.24004064,4.666666667,49.09660468,45.91742198,256.2668693,5.581037834,128.3884427,203.1314465,120.6238197,9,35,11,0,9_35_11_0,35_11_0
PS-9_035_11_05_25_09_23_09_1.csv,76.46713024,17.20155771,1.935483871,25.99604312,22.77510396,136.4269484,5.990178952,11.52650578,27.43042599,120.5541984,9,35,11,1,9_35_11_1,35_11_1
PS-9_036_11_05_25_15_09_35_0.csv,79.34499303,49.33460224,21.73913043,74.12558151,321.0269712,823.7686393,2.566041838,229.288075,815.0838143,120.0590312,9,36,11,0,9_36_11_0,36_11_0
PS-9_036_11_05_25_15_09_35_1.csv,80.89329402,28.27386135,7.317073171,46.22226806,202.8763474,191.7404704,0.945110028,193.9633798,392.5673304,120.531976,9,36,11,1,9_36_11_1,36_11_1
PS-9_036_11_05_25_15_09_35_2.csv,80.88694324,25.27130521,6.666666667,51.70787289,118.9353046,333.386759,2.80309333,118.465299,352.6718255,120.5226745,9,36,11,2,9_36_11_2,36_11_2
PS-9_037_11_05_25_10_04_50_0.csv,73.20167413,64.66792064,32.19178082,100.3560156,996.7284298,2636.531902,2.645185813,1371.297067,7266.95416,120.6204978,9,37,11,0,9_37_11_0,37_11_0
PS-9_037_11_05_25_10_04_50_1.csv,74.19569519,52.48415248,31.57894737,76.47842777,631.2512644,1718.884041,2.722979165,100.6613687,168.6706826,120.2002067,9,37,11,1,9_37_11_1,37_11_1
PS-9_038_11_05_25_15_23_12_0.csv,82.65369323,55.96341884,25.88235294,87.23688841,564.027538,1419.256444,2.516289273,445.0580345,587.5985327,120.4341551,9,38,11,0,9_38_11_0,38_11_0
PS-9_039_11_05_25_18_54_25_0.csv,78.37687417,55.94312958,29.29936306,80.64863541,434.3049501,2221.229643,5.114446986,827.5074933,393.5260692,120.3493949,9,39,11,0,9_39_11_0,39_11_0
PS-9_039_11_05_25_18_54_25_1.csv,82.26635653,44.87407614,18.90243902,49.95716245,322.632726,681.5899391,2.112587733,193.2537226,135.7898833,120.208685,9,39,11,1,9_39_11_1,39_11_1
PS-9_040_11_05_25_19_13_43_0.csv,66.90067024,54.9261122,25,77.5128736,211.480172,677.256676,3.202459454,20.24938609,561.7067812,120.034888,9,40,11,0,9_40_11_0,40_11_0
PS-9_040_11_05_25_19_13_43_1.csv,64.17874946,37.32037347,12.97709924,67.77433673,280.4699905,949.6072288,3.385771245,454.3272784,1201.040488,120.8118285,9,40,11,1,9_40_11_1,40_11_1
PS-9_041_11_05_23_15_49_17_0.csv,77.87536258,35.05842879,12.17948718,45.92815212,196.6483931,371.101851,1.88713391,60.12795541,50.08860407,120.4953867,9,41,11,0,9_41_11_0,41_11_0
PS-9_041_11_05_23_15_49_17_1.csv,78.27919818,33.56950712,15.18987342,50.07623776,143.1703367,537.8774594,3.756905738,219.6842439,618.3406186,120.5499483,9,41,11,1,9_41_11_1,41_11_1
PS-9_043_11_05_26_12_30_07_0.csv,72.51766811,26.47248056,6.802721088,50.46493369,87.20494538,597.9962393,6.857366135,347.9243576,705.5907067,120.6891015,9,43,11,0,9_43_11_0,43_11_0
PS-9_043_11_05_26_12_30_07_1.csv,70.50899704,21.91954806,4.929577465,47.24305551,66.99313247,786.3123334,11.73720805,205.7589769,967.1220657,120.2398258,9,43,11,1,9_43_11_1,43_11_1
PS-9_044_11_05_26_15_27_59_0.csv,79.57607256,49.09002669,14.74358974,84.6435933,187.768295,822.4566077,4.380167631,426.6588797,684.368629,120.3849525,9,44,11,0,9_44_11_0,44_11_0
PS-9_044_11_05_26_15_27_59_1.csv,77.069806,45.08339015,21.93548387,61.59033916,400.5674334,1082.63309,2.70274865,396.6998603,645.0296163,120.1233184,9,44,11,1,9_44_11_1,44_11_1
PS-9_045_11_05_26_15_57_28_0.csv,75.88899573,50.10157233,19.31034483,100.2631812,281.1945374,923.7495612,3.285090705,117.5182127,3559.948888,120.6842802,9,45,11,0,9_45_11_0,45_11_0
PS-9_045_11_05_26_15_57_28_1.csv,78.22265625,38.11437063,19.10828025,52.59545159,221.8263794,453.6918319,2.045256444,48.4317536,268.2858987,120.2821676,9,45,11,1,9_45_11_1,45_11_1
PS-9_045_11_05_26_15_57_28_2.csv,74.22477252,48.86093321,29.72972973,87.28057659,426.7583915,1365.021212,3.198580833,1137.181505,1054.367991,120.4610257,9,45,11,2,9_45_11_2,45_11_2
PS-9_045_11_05_26_15_57_28_3.csv,72.94921875,47.04347839,23.61111111,93.69843509,381.5023999,1284.624279,3.367277059,717.4178443,3125.904064,120.115243,9,45,11,3,9_45_11_3,45_11_3
PS-9_046_11_05_26_18_18_28_0.csv,78.93885105,57.70502641,33.12101911,85.518053,475.2026724,1690.393852,3.557206115,170.8390233,669.0597866,120.036872,9,46,11,0,9_46_11_0,46_11_0
PS-9_046_11_05_26_18_18_28_1.csv,80.75658399,29.98388542,8.641975309,50.15195922,137.8879919,339.6814062,2.463458939,81.37309699,408.6117835,120.3596225,9,46,11,1,9_46_11_1,46_11_1
PS-9_047_11_05_26_19_07_49_0.csv,83.49609375,39.31096447,7.36196319,78.90315959,53.32390889,253.3878422,4.751861734,68.54764308,1074.078659,120.2219654,9,47,11,0,9_47_11_0,47_11_0
PS-9_049_11_06_06_10_11_24_0.csv,84.99328719,37.19945652,16.26506024,72.58287144,212.5498266,666.8794723,3.137520661,326.1061215,591.3405038,120.5476755,9,49,11,0,9_49_11_0,49_11_0
PS-9_052_11_06_06_15_18_45_0.csv,69.43359375,47.00879891,28.87323944,62.56027804,381.0293912,861.0519656,2.259804586,74.98124178,126.4224239,120.2292847,9,52,11,0,9_52_11_0,52_11_0
PS-9_052_11_06_06_15_18_45_1.csv,69.21065763,46.35391833,18.88111888,73.88554401,279.3318861,1399.94814,5.011773483,378.6481479,389.4717159,120.5593995,9,52,11,1,9_52_11_1,52_11_1
PS-9_053_11_06_06_15_40_23_0.csv,74.70703125,41.39820359,22.66666667,68.60398604,279.3270675,1377.862859,4.932793915,377.5996496,1359.521881,120.4743606,9,53,11,0,9_53_11_0,53_11_0
PS-9_053_11_06_06_15_40_23_1.csv,76.38482392,36.71515367,11.03896104,48.10516228,327.4601774,217.2956723,0.663578924,234.2303811,125.3208583,120.2382384,9,53,11,1,9_53_11_1,53_11_1
PS-9_054_11_06_06_18_15_44_0.csv,76.51682719,49.00071372,22.87581699,71.97132801,486.5483646,865.464421,1.778783948,933.701508,726.2554409,120.2250909,9,54,11,0,9_54_11_0,54_11_0
PS-9_054_11_06_06_18_15_44_1.csv,75.64820552,46.30891376,26.62337662,50.14054358,420.4405762,327.2817671,0.778425741,194.8043411,176.5858367,120.3713035,9,54,11,1,9_54_11_1,54_11_1
PS-9_055_11_06_06_18_53_38_0.csv,75.92998061,54.83448296,29.60526316,70.46244682,369.3838842,974.1065534,2.637111674,402.1096186,583.1759892,120.1384477,9,55,11,0,9_55_11_0,55_11_0
PS-9_055_11_06_06_18_53_38_1.csv,74.59237593,43.66489014,24,56.61300139,175.2907184,796.2667226,4.542549256,256.8704174,634.8026049,120.063206,9,55,11,1,9_55_11_1,55_11_1
PS-9_056_11_06_07_09_36_59_0.csv,84.2881831,44.40407576,21.76470588,59.85739521,499.0947588,648.7406433,1.299834614,333.3656385,139.6164953,120.7248838,9,56,11,0,9_56_11_0,56_11_0
