,Old ID,HR,rMSSD,pNN50,SDNN,HF,LF,LFHF,VLF,ULF,Time,Exp,Participant,Step,Seq,ID,No-Step
407,PS-10_113_47_06_28_19_17_00_0.csv,77.34375,18.57905035,3.225806452,26.25491502,39.40086765,243.0675104,6.169090301,112.2808731,59.48469839,120.0430203,10,113,47,0,10_113_47_0,113-47-0
408,PS-10_113_47_06_28_19_17_00_1.csv,80.69994584,25.43573281,5.555555556,33.77702616,139.8469863,185.6122156,1.327252167,213.0907618,100.5678908,120.3317207,10,113,47,1,10_113_47_1,113-47-1
409,PS-10_113_50_06_28_19_24_55_0.csv,77.73743121,33.46767452,9.615384615,42.71142874,177.2967832,379.5531085,2.140778314,129.5494718,174.2783641,120.5480352,10,113,50,0,10_113_50_0,113-50-0
410,PS-10_113_50_06_28_19_24_55_1.csv,79.02903552,37.05376308,14.46540881,51.79071211,342.5619348,962.9643677,2.811066467,290.0413161,173.8465813,120.4467428,10,113,50,1,10_113_50_1,113-50-1
411,PS-10_113_50_06_28_19_24_55_2.csv,78.96726182,26.0173128,8.176100629,30.96248988,121.7993892,124.3555816,1.020986906,45.53680631,193.2531037,120.4520834,10,113,50,2,10_113_50_2,113-50-2
412,PS-10_114_47_07_02_15_53_28_0.csv,67.67699301,48.7111008,25.17985612,90.48039883,348.4044817,1954.917659,5.611057727,483.0467789,439.6774603,120.6581207,10,114,47,0,10_114_47_0,114-47-0
413,PS-10_114_47_07_02_15_53_28_1.csv,71.81792695,50.3180858,24.30555556,85.75599288,415.663927,3253.24337,7.826619437,1025.904043,346.8422004,120.9319347,10,114,47,1,10_114_47_1,114-47-1
414,PS-10_114_50_07_02_16_01_48_0.csv,65.99394378,39.61246612,14.17910448,60.99162962,422.6600563,792.3003467,1.874556952,533.6618449,615.1045831,120.870492,10,114,50,0,10_114_50_0,114-50-0
415,PS-10_114_50_07_02_16_01_48_1.csv,69.43359375,52.726148,24.28571429,96.4349163,316.0445031,1649.082053,5.217879244,2148.84254,1625.985899,120.2984823,10,114,50,1,10_114_50_1,114-50-1
416,PS-10_114_50_07_02_16_01_48_2.csv,70.36661999,59.23577147,32.86713287,91.81526042,479.8058412,3226.075436,6.723710216,461.1639433,477.799267,120.2105872,10,114,50,2,10_114_50_2,114-50-2
417,PS-10_114_50_07_02_16_01_48_3.csv,71.98145711,66.17489783,43.15068493,98.67452765,1187.456752,2750.736955,2.316494433,242.8887967,581.8802605,120.1772856,10,114,50,3,10_114_50_3,114-50-3
418,PS-9_001_11_05_21_12_08_37_0.csv,77.31389877,55.4945759,17.44966443,92.01761614,581.317281,2409.009683,4.144053105,2094.714886,3812.940262,120.5861965,9,1,11,0,9_1_11_0,1-11-0
419,PS-9_001_11_05_21_12_08_37_1.csv,78.66293827,39.77448327,14.9068323,51.62086566,302.9460958,466.3529656,1.539392559,281.1275685,396.52619,120.4256242,9,1,11,1,9_1_11_1,2001/11/1
420,PS-9_001_21_05_21_12_23_12_0.csv,73.40499504,43.93972315,20.80536913,58.58291943,434.7698654,1098.633861,2.526931944,73.59077975,394.003227,120.6727106,9,1,21,0,9_1_21_0,1-21-0
421,PS-9_001_21_05_21_12_23_12_1.csv,74.35900383,51.62568835,23.33333333,72.82024662,680.0912837,1339.097338,1.968996472,418.193547,798.3854595,120.303813,9,1,21,1,9_1_21_1,1-21-1
422,PS-9_001_21_05_21_12_23_12_2.csv,75.99090939,48.47499606,28.10457516,80.33847364,310.8180978,2766.94878,8.902148233,818.9826569,782.2939871,120.5646599,9,1,21,2,9_1_21_2,1-21-2
423,PS-9_001_21_05_21_12_23_12_3.csv,75.6352028,37.38523741,14.37908497,51.64147307,316.641569,775.3920965,2.448800702,416.3123632,284.8225276,120.0933359,9,1,21,3,9_1_21_3,1-21-3
424,PS-9_001_21_05_21_12_23_12_4.csv,77.54336333,40.54852244,18.06451613,55.2733499,239.8647815,772.6225506,3.221075415,345.7937075,277.796699,120.6027256,9,1,21,4,9_1_21_4,1-21-4
425,PS-9_001_21_05_21_12_23_12_5.csv,76.90429688,43.08600833,23.22580645,54.86773803,260.1523699,522.9688215,2.010240467,661.0328745,132.9909156,120.2340018,9,1,21,5,9_1_21_5,1-21-5
426,PS-9_001_21_05_21_12_23_12_6.csv,76.36776668,46.24443245,21.93548387,53.82452784,380.1454821,720.3402287,1.89490672,108.7424508,110.137721,120.0600228,9,1,21,6,9_1_21_6,1-21-6
427,PS-9_001_42_05_21_13_30_00_0.csv,69.86355402,42.21570086,23.23943662,59.51231177,316.9027626,1120.424875,3.535547831,167.3593572,461.9216905,120.6664376,9,1,42,0,9_1_42_0,1-42-0
428,PS-9_001_45_05_21_13_35_03_0.csv,71.0022844,45.07147343,25,77.6023565,220.3664335,1137.326139,5.161067957,497.3863773,1066.161406,120.5722489,9,1,45,0,9_1_45_0,1-45-0
429,PS-9_002_11_05_21_12_05_40_0.csv,77.77016801,51.80498114,20.80536913,108.9825502,190.5658036,2052.037517,10.76813089,445.9976028,5060.003646,120.5203669,9,2,11,0,9_2_11_0,2-11-0
430,PS-9_002_11_05_21_12_05_40_1.csv,77.96330107,64.84943566,24.83221477,98.92824773,422.9992655,1726.516258,4.081605806,837.4263857,968.4558894,120.1654924,9,2,11,1,9_2_11_1,2002/11/1
431,PS-9_002_21_05_21_12_19_02_0.csv,78.22264269,42.99680321,14.64968153,68.1442286,324.5623826,1029.38741,3.171616505,421.7366333,666.3673675,120.8265612,9,2,21,0,9_2_21_0,2-21-0
432,PS-9_002_21_05_21_12_19_02_1.csv,74.24929306,47.83065744,20.68965517,97.70426511,258.1198853,1821.368872,7.056290413,671.071158,2060.076171,120.1481192,9,2,21,1,9_2_21_1,2-21-1
433,PS-9_002_42_05_21_13_22_46_0.csv,76.35897503,41.58376577,20.77922078,49.76670414,259.8613578,957.2748696,3.683790763,198.3077664,53.09003805,120.3127324,9,2,42,0,9_2_42_0,2-42-0
434,PS-9_002_45_05_21_13_27_35_0.csv,78.67775185,39.19571798,19.62025316,63.26296412,292.3207434,627.0808721,2.145180889,348.9676571,206.7700689,120.2939652,9,2,45,0,9_2_45_0,2-45-0
435,PS-9_003_21_05_21_15_06_24_0.csv,77.70332395,49.34773641,26.11464968,75.72762139,512.5144032,1609.428019,3.140259101,162.989371,642.1361993,120.884776,9,3,21,0,9_3_21_0,3-21-0
436,PS-9_003_21_05_21_15_06_24_1.csv,80.85073988,41.36429042,22.08588957,71.17019384,247.5466564,1388.076961,5.60733472,593.033108,91.17722879,120.5948525,9,3,21,1,9_3_21_1,3-21-1
437,PS-9_003_21_05_21_15_06_24_2.csv,85.32532185,38.10708453,15.97633136,54.58977869,139.6060501,349.2820035,2.501911653,154.4181645,344.9611936,120.1964001,9,3,21,2,9_3_21_2,3-21-2
438,PS-9_003_21_05_21_15_06_24_3.csv,84.70140574,36.65116799,14.37125749,47.6063749,356.8592963,682.2513672,1.911821758,84.11136425,45.86997432,120.1999847,9,3,21,3,9_3_21_3,3-21-3
439,PS-9_003_21_05_21_15_06_24_4.csv,83.54776175,34.8899777,16.96969697,54.23507632,225.1650193,630.9034567,2.801960352,642.2731021,931.4203468,120.2260746,9,3,21,4,9_3_21_4,3-21-4
440,PS-9_003_42_05_21_16_05_48_0.csv,79.85223557,39.54960281,17.61006289,74.7428271,277.5661355,870.9366303,3.137762569,716.0375466,400.6080846,120.1548211,9,3,42,0,9_3_42_0,3-42-0
441,PS-9_003_45_05_21_16_10_55_0.csv,81.29129022,32.80636142,12.19512195,47.41417686,110.2008458,512.8305402,4.653598949,639.34776,327.5288631,120.6530318,9,3,45,0,9_3_45_0,3-45-0
442,PS-9_004_21_05_21_15_13_29_0.csv,72.19905063,42.90453833,20.94594595,72.9789853,262.680624,1001.550399,3.812806532,690.6925769,684.8675426,120.3902016,9,4,21,0,9_4_21_0,4-21-0
443,PS-9_004_21_05_21_15_13_29_1.csv,77.03686401,40.47376118,22.58064516,72.26842856,169.1040864,847.1186771,5.00945125,74.44495421,781.3188965,120.2525975,9,4,21,1,9_4_21_1,4-21-1
444,PS-9_004_21_05_21_15_13_29_2.csv,77.13155321,51.03681348,28.84615385,56.89645376,344.1374732,484.2933714,1.40726718,144.064388,268.5330616,120.4570253,9,4,21,2,9_4_21_2,4-21-2
445,PS-9_004_21_05_21_15_13_29_3.csv,74.20454478,43.80326045,18.42105263,74.72393089,188.2993523,1088.480376,5.780584812,210.053179,1250.159127,120.2859278,9,4,21,3,9_4_21_3,4-21-3
446,PS-9_004_21_05_21_15_13_29_4.csv,76.01794443,43.75319453,23.37662338,75.19023884,443.7023931,1507.319997,3.397141915,1527.820525,771.4993159,120.624556,9,4,21,4,9_4_21_4,4-21-4
447,PS-9_004_21_05_21_15_13_29_5.csv,79.09499195,47.44633972,25.94936709,63.73475484,466.2664246,1832.830931,3.930866205,289.5658779,308.9663596,120.6959067,9,4,21,5,9_4_21_5,4-21-5
448,PS-9_004_21_05_21_15_13_29_6.csv,77.53310103,42.18789341,18.06451613,62.87704006,335.3680838,913.4134833,2.72361482,242.810021,503.496398,120.1267573,9,4,21,6,9_4_21_6,4-21-6
449,PS-9_004_21_05_21_15_13_29_7.csv,78.13901877,52.85023172,30.12820513,62.25679402,493.3348586,503.307814,1.020215388,668.3869153,80.39812876,120.7020582,9,4,21,7,9_4_21_7,4-21-7
450,PS-9_004_21_05_21_15_13_29_8.csv,76.08601914,49.46270633,20.91503268,81.98348225,282.0193403,636.7524825,2.257832678,1133.36809,799.8474041,120.3923892,9,4,21,8,9_4_21_8,4-21-8
451,PS-9_004_42_05_21_16_28_33_0.csv,74.22062889,57.84535951,35.81081081,86.78023957,412.459817,2288.494448,5.548405818,292.9769644,2916.961548,120.1128768,9,4,42,0,9_4_42_0,4-42-0
452,PS-9_004_45_05_21_16_33_43_0.csv,70.33125056,53.53453205,27.97202797,80.8448438,323.6993001,2234.009175,6.901495229,332.7080714,406.2252898,120.5571183,9,4,45,0,9_4_45_0,4-45-0
453,PS-9_004_45_05_21_16_33_43_1.csv,68.28098333,44.87224881,18.84057971,79.52173367,316.7619395,1160.248175,3.662839597,668.6165258,799.9340522,120.2321458,9,4,45,1,9_4_45_1,4-45-1
454,PS-9_004_45_05_21_16_33_43_2.csv,75.03672253,32.32627151,12.41830065,52.77822791,190.2892363,1071.976025,5.633403368,135.8260849,277.8922365,120.5581277,9,4,45,2,9_4_45_2,4-45-2
455,PS-9_005_11_05_25_12_28_57_0.csv,82.47977705,49.52622702,26.2195122,93.44731067,347.3764046,680.6379249,1.959367176,240.8174468,1217.66191,120.414715,9,5,11,0,9_5_11_0,5-11-0
456,PS-9_005_11_05_25_12_28_57_1.csv,87.45117188,37.79167097,19.31818182,45.9973271,333.9737822,386.544238,1.15740893,154.7347519,140.6283255,120.7005327,9,5,11,1,9_5_11_1,2005/11/1
457,PS-9_005_21_05_25_12_43_49_0.csv,84.81445312,39.67232942,15.88235294,59.03181416,324.7680161,1443.664048,4.445216204,211.7935161,83.81789509,120.3917882,9,5,21,0,9_5_21_0,5-21-0
458,PS-9_005_21_05_25_12_43_49_1.csv,88.30841186,40.37144604,18.88888889,53.18177071,145.3348885,641.5826434,4.414512235,85.44606833,287.9814486,120.2019228,9,5,21,1,9_5_21_1,5-21-1
459,PS-9_005_21_05_25_12_43_49_2.csv,87.43755113,39.93845797,16.47727273,51.8154569,310.8431543,1406.822966,4.525829011,107.0724212,86.5607567,120.2800345,9,5,21,2,9_5_21_2,5-21-2
460,PS-9_005_21_05_25_12_43_49_3.csv,86.78450193,41.36365916,16.57142857,51.94342816,437.84943,494.9312615,1.130368633,239.6656378,258.3406956,120.6050549,9,5,21,3,9_5_21_3,5-21-3
461,PS-9_005_21_05_25_12_43_49_4.csv,86.77709915,38.42676208,18.18181818,54.95523099,302.5264123,472.957668,1.563359921,217.3897752,79.85634528,120.8120403,9,5,21,4,9_5_21_4,5-21-4
462,PS-9_005_21_05_25_12_43_49_5.csv,86.07790375,42.97565423,22.98850575,53.18674899,247.6382864,360.3128528,1.454996552,154.1602724,305.1915568,120.2607637,9,5,21,5,9_5_21_5,5-21-5
463,PS-9_005_21_05_25_12_43_49_6.csv,87.80623875,40.20354736,18.99441341,51.50880739,194.9414152,415.3018072,2.130392901,106.3937078,436.8358026,120.1329142,9,5,21,6,9_5_21_6,5-21-6
464,PS-9_005_21_05_25_12_43_49_7.csv,87.09326511,37.55343124,18.18181818,45.34296233,275.9654366,431.4028745,1.563249659,97.89306166,121.7203961,120.6119033,9,5,21,7,9_5_21_7,5-21-7
465,PS-9_005_42_05_25_14_11_04_0.csv,84.34963093,49.79954646,30.40935673,66.55264801,744.8323476,945.4979965,1.269410492,317.2933715,219.1957683,120.3401655,9,5,42,0,9_5_42_0,5-42-0
466,PS-9_005_45_05_25_14_16_06_0.csv,84.11812401,44.84712141,26.9005848,52.19165239,437.7078671,752.2052331,1.71850974,155.211891,177.1135147,120.7185386,9,5,45,0,9_5_45_0,5-45-0
467,PS-9_006_11_05_25_12_23_59_0.csv,77.02987248,33.68479847,9.615384615,61.17475934,221.5857804,855.5073481,3.860840467,372.4322738,296.4083467,120.8003107,9,6,11,0,9_6_11_0,6-11-0
468,PS-9_006_11_05_25_12_23_59_1.csv,77.47953731,27.3678092,7.692307692,40.17201999,101.5133096,308.1586744,3.035647992,248.644363,205.9668513,120.1100452,9,6,11,1,9_6_11_1,2006/11/1
469,PS-9_006_21_05_25_12_36_48_0.csv,75.10363375,34.47862074,11.9205298,41.78330903,181.5742901,373.9266323,2.059358911,96.86655585,213.6411915,120.3924177,9,6,21,0,9_6_21_0,6-21-0
470,PS-9_006_21_05_25_12_36_48_1.csv,76.02411373,36.91277899,9.74025974,56.85990695,132.0951527,359.0285121,2.717953723,235.611556,213.119219,120.6651526,9,6,21,1,9_6_21_1,6-21-1
471,PS-9_006_21_05_25_12_36_48_2.csv,76.11147741,30.93445385,8.441558442,40.44919039,83.88661847,213.6196453,2.546528269,144.8728463,252.0777648,120.3926438,9,6,21,2,9_6_21_2,6-21-2
472,PS-9_006_21_05_25_12_36_48_3.csv,77.16692281,28.6542972,8.387096774,42.59762461,82.41734203,367.5758735,4.459933606,238.3027363,248.9801501,120.4704039,9,6,21,3,9_6_21_3,6-21-3
473,PS-9_006_42_05_25_13_28_18_0.csv,76.26776935,47.39616946,22.29299363,69.61421555,353.1094571,551.3275114,1.561350171,298.1632956,382.760487,120.8992506,9,6,42,0,9_6_42_0,6-42-0
474,PS-9_006_45_05_25_13_33_03_0.csv,74.20882162,38.73026966,17.21854305,61.06669299,326.607537,1012.094265,3.098808663,515.7639002,222.4850523,120.813576,9,6,45,0,9_6_45_0,6-45-0
475,PS-9_007_11_05_22_14_41_39_0.csv,67.65005191,45.07717904,21.01449275,65.88121447,318.6380352,700.0243425,2.196926497,396.9415145,293.6516162,120.8797335,9,7,11,0,9_7_11_0,7-11-0
476,PS-9_007_11_05_22_14_41_39_1.csv,66.796875,45.61986671,25.73529412,65.04160657,340.0767635,537.2086268,1.579668723,478.2389995,358.7358181,120.5635323,9,7,11,1,9_7_11_1,2007/11/1
477,PS-9_007_21_05_22_14_52_48_0.csv,66.43334698,60.73647192,30.82706767,95.90960942,406.0530523,2434.645201,5.995879571,363.5690279,997.6289256,120.4700094,9,7,21,0,9_7_21_0,7-21-0
478,PS-9_007_21_05_22_14_52_48_1.csv,69.48460359,47.86924372,20.56737589,51.75440133,274.6344059,313.4108744,1.141193047,427.1226666,170.2706413,120.4718479,9,7,21,1,9_7_21_1,7-21-1
479,PS-9_007_21_05_22_14_52_48_2.csv,69.0176866,42.88086345,19.28571429,61.92205788,283.0205127,1100.100495,3.88699916,230.2565865,241.8413413,120.6456488,9,7,21,2,9_7_21_2,7-21-2
480,PS-9_007_21_05_22_14_52_48_3.csv,69.03475853,44.66192583,21.42857143,54.14712284,414.0522897,675.0298664,1.630301011,43.37288976,126.6987863,120.0697064,9,7,21,3,9_7_21_3,7-21-3
481,PS-9_007_21_05_22_14_52_48_4.csv,68.22266302,38.57212322,22.30215827,57.84972755,153.5118705,1377.429034,8.972785163,365.9562705,177.9914181,120.2063866,9,7,21,4,9_7_21_4,7-21-4
