0,1,2,3,No-step
0.25690531811135975,0.7430946818886401,21.0,11.0,1_11_1
0.270023690478155,0.7299763095218452,21.0,11.0,8_11_0
0.25902497900494326,0.7409750209950565,21.0,11.0,9_11_1
0.21094356241741036,0.7890564375825898,21.0,11.0,14_11_0
0.25152620436506756,0.7484737956349323,21.0,11.0,23_11_0
0.38795213008061274,0.6120478699193873,21.0,11.0,35_11_1
0.2665920218958366,0.7334079781041632,21.0,11.0,46_11_1
0.2546519993142961,0.745348000685704,21.0,11.0,72_11_0
0.5172180460640406,0.48278195393595935,11.0,11.0,78_11_0
0.4193300370546134,0.5806699629453864,21.0,11.0,81_11_0
0.2378005156489463,0.7621994843510537,21.0,21.0,1_21_6
0.2547467384361363,0.7452532615638636,21.0,21.0,5_21_6
0.2936969924155451,0.706303007584455,21.0,21.0,6_21_1
0.3089615299510035,0.6910384700489965,21.0,21.0,7_21_1
0.21144165770606588,0.7885583422939342,21.0,21.0,9_21_5
0.3699403985283005,0.6300596014716995,21.0,21.0,16_21_1
0.3075129144994781,0.692487085500522,21.0,21.0,17_21_3
0.3304233341956202,0.6695766658043798,21.0,21.0,19_21_1
0.24677182245409565,0.7532281775459043,21.0,21.0,21_21_2
0.2539893594194233,0.7460106405805765,21.0,21.0,21_21_3
0.24957749521223108,0.7504225047877688,21.0,21.0,22_21_0
0.2595489266223903,0.7404510733776097,21.0,21.0,23_21_1
0.24406838034560227,0.7559316196543978,21.0,21.0,23_21_2
0.2636048579654312,0.736395142034569,21.0,21.0,23_21_7
0.25616344877275515,0.7438365512272449,21.0,21.0,31_21_3
0.2585093966026745,0.7414906033973254,21.0,21.0,34_21_1
0.25575054147775045,0.7442494585222496,21.0,21.0,34_21_4
0.2772000870107151,0.722799912989285,21.0,21.0,34_21_5
0.33895099506110765,0.6610490049388923,21.0,21.0,35_21_0
0.23485511612750903,0.765144883872491,21.0,21.0,39_21_1
0.29596917329717554,0.7040308267028245,21.0,21.0,40_21_0
0.34574290277076974,0.6542570972292302,21.0,21.0,45_21_0
0.32080137980039103,0.6791986201996091,21.0,21.0,47_21_1
0.37569991111052886,0.6243000888894712,21.0,21.0,47_21_3
0.29933290284330244,0.7006670971566977,21.0,21.0,48_21_3
0.24384000333616407,0.7561599966638358,21.0,21.0,53_21_2
0.23744566834039374,0.7625543316596063,21.0,21.0,54_21_2
0.25822787703221617,0.7417721229677839,21.0,21.0,55_21_2
0.2775214418159299,0.7224785581840701,21.0,21.0,56_21_6
0.28811056713414834,0.7118894328658519,21.0,21.0,57_21_4
0.3546561578512138,0.6453438421487862,21.0,21.0,61_21_2
0.34020434841521047,0.6597956515847896,21.0,21.0,62_21_0
0.2934149627713666,0.7065850372286335,21.0,21.0,64_21_1
0.2536937166491812,0.7463062833508187,21.0,21.0,73_21_1
0.4624762189782449,0.537523781021755,21.0,21.0,78_21_0
0.26366125200767193,0.7363387479923278,21.0,21.0,80_21_2
0.27498624508536756,0.7250137549146326,21.0,11.0,6_11_0
0.23694626175184344,0.7630537382481566,21.0,11.0,12_11_0
0.2894028569820093,0.7105971430179908,21.0,11.0,33_11_1
0.2669609627915455,0.7330390372084546,21.0,11.0,36_11_1
0.2657412813791678,0.7342587186208325,21.0,11.0,37_11_1
0.3859761070816906,0.6140238929183095,21.0,11.0,38_11_0
0.2579710066961875,0.7420289933038124,21.0,11.0,41_11_0
0.3902761520702473,0.6097238479297525,21.0,11.0,45_11_0
0.26485884262682197,0.735141157373178,21.0,11.0,49_11_0
0.24516594547922252,0.7548340545207775,21.0,11.0,57_11_1
0.4185314055611726,0.5814685944388273,21.0,11.0,61_11_0
0.3010090762326946,0.6989909237673053,21.0,11.0,62_11_0
0.32011503384675566,0.6798849661532443,21.0,11.0,63_11_0
0.2594038110955598,0.7405961889044403,21.0,11.0,67_11_0
0.25112753960210416,0.7488724603978956,21.0,21.0,2_21_0
0.25793563474474807,0.7420643652552521,21.0,21.0,3_21_4
0.3042279858076962,0.6957720141923036,21.0,21.0,4_21_0
0.2633181510468388,0.736681848953161,21.0,21.0,4_21_2
0.2705502745374917,0.7294497254625083,21.0,21.0,5_21_3
0.2671822532328058,0.7328177467671941,21.0,21.0,5_21_7
0.2798829568354769,0.7201170431645231,21.0,21.0,8_21_2
