,Name,0_mean,0_median,0_std,1_mean,1_median,1_std,2_mean,2_median,2_std,3_mean,3_median,3_std,4_mean,4_median,4_std,5_mean,5_median,5_std,6_mean,6_median,6_std,7_mean,7_median,7_std,8_mean,8_median,8_std,9_mean,9_median,9_std,10_mean,10_median,10_std,11_mean,11_median,11_std,12_mean,12_median,12_std,13_mean,13_median,13_std,14_mean,14_median,14_std,15_mean,15_median,15_std,16_mean,16_median,16_std,17_mean,17_median,17_std,18_mean,18_median,18_std,19_mean,19_median,19_std,20_mean,20_median,20_std,21_mean,21_median,21_std,22_mean,22_median,22_std,23_mean,23_median,23_std,24_mean,24_median,24_std,25_mean,25_median,25_std,26_mean,26_median,26_std,27_mean,27_median,27_std,28_mean,28_median,28_std,29_mean,29_median,29_std,30_mean,30_median,30_std,31_mean,31_median,31_std,32_mean,32_median,32_std,33_mean,33_median,33_std,34_mean,34_median,34_std,35_mean,35_median,35_std,36_mean,36_median,36_std,37_mean,37_median,37_std,38_mean,38_median,38_std,39_mean,39_median,39_std,40_mean,40_median,40_std,41_mean,41_median,41_std,42_mean,42_median,42_std,43_mean,43_median,43_std,44_mean,44_median,44_std,45_mean,45_median,45_std,46_mean,46_median,46_std,47_mean,47_median,47_std,48_mean,48_median,48_std,49_mean,49_median,49_std,50_mean,50_median,50_std,51_mean,51_median,51_std,52_mean,52_median,52_std,53_mean,53_median,53_std,54_mean,54_median,54_std,55_mean,55_median,55_std,56_mean,56_median,56_std,57_mean,57_median,57_std,58_mean,58_median,58_std,59_mean,59_median,59_std,60_mean,60_median,60_std
0,FLIR_20220524_063223_0,103.79135338345866,120.0,17.37781954887218,106.38701298701298,109.0,11.752380952380953,121.14285714285714,112.0,7.142857142857143,97.71428571428571,94.0,8.714285714285714,122.35801896516183,124.0,17.23191094619666,142.66666666666666,165.0,15.476190476190476,181.1904761904762,180.0,4.761904761904762,174.0,174.0,3.9047619047619047,167.1904761904762,171.0,3.857142857142857,152.85714285714286,160.0,6.904761904761905,117.67804232804234,137.0,18.593650793650795,71.08404058347668,69.22727272727273,16.762119584675975,59.0633675096833,58.0,13.354285714285714,63.34586466165414,63.26315789473684,13.213032581453634,94.68095238095238,86.0,16.20952380952381,66.87157287157287,70.0,11.047619047619047,44.386286150148926,31.0,12.597397511636236,130.0952380952381,134.0,14.714285714285714,151.38095238095238,152.0,4.904761904761905,161.28571428571428,161.0,4.476190476190476,167.1904761904762,165.0,4.904761904761905,179.8095238095238,180.0,3.4285714285714284,190.85714285714286,192.0,2.9523809523809526,182.71428571428572,185.0,3.5238095238095237,164.38095238095238,167.0,4.428571428571429,145.9047619047619,149.0,5.142857142857143,127.71428571428571,145.0,11.476190476190476,96.57142857142857,94.0,19.238095238095237,127.23809523809524,127.0,4.380952380952381,162.85714285714286,164.0,3.8095238095238093,149.42857142857142,149.0,5.0476190476190474,158.76190476190476,158.0,7.142857142857143,169.52380952380952,170.0,3.619047619047619,166.04761904761904,166.0,4.333333333333333,168.9047619047619,171.0,6.761904761904762,150.0,151.0,8.095238095238095,14.285714285714286,0.0,1.4285714285714286,14.285714285714286,0.0,1.4285714285714286,14.285714285714286,0.0,1.4285714285714286,32.1701328083681,30.0,3.4744951127304056,28.503076171875,30.0,3.716477665284864,14.285714285714286,0.0,1.4285714285714286,29.983516483516485,30.0,4.340659340659341,14.285714285714286,0.0,1.4285714285714286,14.285714285714286,0.0,1.4285714285714286,14.285714285714286,0.0,1.4285714285714286,14.285714285714286,0.0,1.4285714285714286,16.530612244897956,4.285714285714286,1.2244897959183674,179.38095238095238,180.0,3.0476190476190474,153.04761904761904,153.0,4.9523809523809526,174.23809523809524,175.0,3.9523809523809526,154.28571428571428,153.0,6.666666666666667,149.04761904761904,150.0,5.190476190476191,146.42857142857142,144.0,10.761904761904763,140.9047619047619,141.0,3.4285714285714284,180.47619047619048,185.0,4.571428571428571,146.14285714285714,148.0,3.4761904761904763,178.1904761904762,181.0,4.0,181.28571428571428,183.0,1.6666666666666667,157.52380952380952,158.0,3.761904761904762,167.47619047619048,166.0,4.380952380952381
1,FLIR_20220524_063223_1,117.05678670360112,112.4342105263158,1.608725761772853,104.89473684210526,98.0,7.526315789473684,121.89473684210526,114.0,6.2105263157894735,101.10526315789474,98.0,7.421052631578948,84.62783153309469,88.0,9.244264507422402,148.1578947368421,151.0,10.421052631578947,181.78947368421052,184.0,6.052631578947368,174.47368421052633,175.0,4.894736842105263,167.73684210526315,171.0,6.421052631578948,142.73684210526315,156.0,15.578947368421053,156.95344926104892,164.0,6.433752534439035,116.2704288429704,123.0,15.261157279162822,72.42105263157895,67.0,5.7368421052631575,72.1283224784369,73.0,11.318253828551313,103.78947368421052,110.0,6.473684210526316,90.12781954887218,90.0,6.121804511278196,68.4038312005891,68.1888198757764,10.794330875271655,130.8421052631579,131.0,14.842105263157896,158.57208237986268,159.0,4.118993135011441,160.86727688787184,161.47826086956522,2.8421052631578947,164.10755148741418,164.0,5.215102974828378,181.23340961098398,180.43478260869566,1.9542334096109837,192.37986270022884,194.0,3.6086956521739144,184.78718535469108,186.0,4.8466819221967965,167.9954233409611,172.0,5.272311212814648,146.83066361556064,155.0,4.707093821510296,138.89810260700298,144.0,10.480549199084667,80.6967248283753,77.0,17.83967391304348,115.7162471395881,115.0,3.5377574370709377,160.37986270022884,163.0,4.292906178489704,140.1578947368421,144.0,4.7368421052631575,159.3684210526316,160.0,4.842105263157895,165.52631578947367,165.0,5.052631578947368,161.21052631578948,161.0,2.9473684210526314,168.68421052631578,170.0,3.9473684210526314,149.05263157894737,150.0,5.526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.952282547174185,34.341653934300986,1.7863346405916058,25.608618032945085,27.625085698341838,1.6919002479692535,0.0,0.0,0.0,28.866782399303965,31.4242818879111,4.23250950553928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2857142857142865,4.285714285714286,0.0,180.10526315789474,180.0,3.8421052631578947,149.52631578947367,150.0,3.6315789473684212,171.52631578947367,175.0,6.368421052631579,150.94736842105263,153.0,5.684210526315789,145.1578947368421,144.0,3.5789473684210527,130.73684210526315,127.0,8.68421052631579,140.42105263157896,139.0,3.1578947368421053,180.52631578947367,183.0,5.684210526315789,146.8421052631579,149.0,4.368421052631579,177.26315789473685,182.0,7.315789473684211,184.83066361556064,186.0,2.9176201372997697,153.1578947368421,155.0,1.2105263157894737,167.55148741418762,165.0,3.263157894736842
2,PS-9_001_11_2022-05-21_120837_1_0,127.9,130.5,12.6,123.4,130.0,16.3,104.4,99.5,16.8,72.5,72.5,14.7,99.9,100.5,10.5,122.1,119.0,4.1,133.4,136.5,5.9,134.7,138.0,12.6,126.4,134.0,11.3,130.9,134.0,20.2,104.4,108.0,39.3,48.233333333333334,36.0,21.133333333333333,27.0,30.0,3.0,37.88,30.0,6.08,51.12,55.0,10.72,47.260000000000005,41.0,15.26,34.4,30.0,10.0,134.2,135.5,6.8,124.8,123.0,8.2,132.9,132.5,6.7,150.7,148.5,4.6,175.7,176.5,4.3,172.0,172.5,2.9,152.2,154.5,3.1,136.4,135.0,4.4,118.6,120.5,3.4,101.0,108.5,17.1,118.8,118.5,16.9,130.0,132.5,9.7,146.6,152.0,7.7,139.6,143.5,7.1,183.6,182.5,7.6,176.5,179.5,8.7,174.9,176.5,5.1,174.4,175.5,4.1,168.0,170.5,4.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,27.0,30.0,3.0,179.0,181.5,8.0,173.8,174.0,2.9,175.8,173.5,6.5,182.4,182.5,3.0,176.3,180.5,9.7,175.1,169.5,7.7,111.8,117.0,6.5,188.8,189.5,2.5,115.7,116.0,6.6,164.7,166.0,4.8,181.2,182.5,3.3,151.8,151.0,4.5,105.7,135.5,57.9
